scorer,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie
individuals,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
bodyparts,BL1,BL1,BL2,BL2,BR1,BR1,BR2,BR2,Body1,Body1,Body2,Body2,Body3,Body3,FL1,FL1,FL2,FL2,FR1,FR1,FR2,FR2,Front,Front,Left,Left,Middle,Middle,Right,Right,BL1,BL1,BL2,BL2,BR1,BR1,BR2,BR2,Body1,Body1,Body2,Body2,Body3,Body3,FL1,FL1,FL2,FL2,FR1,FR1,FR2,FR2,Front,Front,Left,Left,Middle,Middle,Right,Right
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.611571745586745,1.0,,,0.6689469336202971,0.9990000128746033,,,1.2813371921551118,0.9990000128746033,2.0689400667974973,0.9980000257492065,1.8336174628313353,1.0,5.505320335820613,0.9980000257492065,,,3.40836691100003,1.0,1.262008320099374,0.9980000257492065,2.7033270242425167,1.0,2.4866533735122918,1.0,3.169159667798383,1.0,0.3608462276371807,1.0
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1386698380127536,0.9929999709129333,,,3.603389792958841,0.593999981880188,,,1.2629307186065357,0.9990000128746033,4.247275126478133,0.9980000257492065,1.0100123761617985,0.9940000176429749,8.057124176776755,0.9980000257492065,1.788990776946597,0.828000009059906,2.458956282653273,0.9929999709129333,4.935964849955891,0.9950000047683716,3.1576125474794896,1.0,2.4154573065985137,1.0,2.5151890585003547,0.9950000047683716,2.423541623327308,0.9990000128746033
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9001526254488166,0.996999979019165,,,3.871511978542752,0.9980000257492065,2.9137621728617416,0.9990000128746033,2.9334556413895023,0.9990000128746033,4.437053639522511,0.9990000128746033,3.6837660077697354,0.9909999966621399,3.7946178990775983,0.9660000205039978,,,3.7267562302892863,1.0,2.6584160697678505,1.0,1.9986975759228884,1.0,2.417910875115115,1.0,7.107751894938373,1.0,1.9464269829613297,1.0
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.598489987925166,0.9959999918937683,,,6.017985875689624,0.9909999966621399,,,8.998568386137885,0.9710000157356262,3.4393772692160494,0.996999979019165,8.659882274026584,0.9959999918937683,5.025861319216816,0.9950000047683716,,,19.75325879443694,0.5450000166893005,,,0.9900595941659113,1.0,4.031099105703043,1.0,1.6864186905985294,1.0,2.2750832951784234,1.0
35,1.7433717331653866,0.9990000128746033,,,0.7843902090158963,0.996999979019165,1.9949819548055958,0.9990000128746033,2.9714382039679057,0.9990000128746033,1.356681613349273,1.0,2.8734907342812073,0.9990000128746033,3.7702480024528597,0.9990000128746033,,,0.6097671686799556,0.9950000047683716,,,1.518969716617178,1.0,2.4804275841072148,0.9980000257492065,3.2379396226613077,1.0,0.47320714280322634,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8863226129164503,0.9860000014305115,,,2.2264557035791457,0.9819999933242798,,,3.687533593067341,0.9990000128746033,4.019088080647142,0.9990000128746033,3.598428684856776,0.996999979019165,3.5970468442876626,0.9990000128746033,,,1.2020815280171346,0.9990000128746033,,,5.543392914091499,1.0,2.530976293843931,1.0,4.817246101249138,1.0,3.7115647643547613,1.0
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.241537627658055,0.9330000281333923,,,5.451813001195106,0.9229999780654907,,,3.945088338681416,0.9980000257492065,5.411775679017006,0.9300000071525574,11.624767739615281,0.996999979019165,2.868676524113528,1.0,,,3.480287631791374,0.8019999861717224,,,3.9268045533232203,0.9929999709129333,1.9568014717901419,1.0,2.2079703349456272,1.0,1.504035238948875,1.0
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.218112492572939,0.9990000128746033,,,0.3410938287333714,0.9980000257492065,,,6.227980812430279,1.0,2.9517731958942783,0.9980000257492065,1.795311672106007,0.9990000128746033,3.0759331917322337,0.9980000257492065,4.079052953811712,0.8309999704360962,5.454988359290968,0.9990000128746033,,,1.7206408689787647,1.0,2.8558538127852575,1.0,2.4934059035784712,1.0,1.8927144528427913,0.9990000128746033
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.045701399311547,0.8870000243186951,,,5.674106801955707,0.8840000033378601,3.5629790905926004,0.9950000047683716,2.982026827511762,0.9950000047683716,7.878688342611347,0.9929999709129333,12.369705938299413,0.9869999885559082,8.983056996368227,0.9129999876022339,,,10.223642599386979,0.9980000257492065,,,,,9.284348226989348,0.8410000205039978,3.296956171986517,0.953000009059906,2.3122305248396056,0.9990000128746033
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5718237638494896,0.996999979019165,2.379021857823074,0.9980000257492065,5.515157749330486,0.972000002861023,4.040520016037531,0.996999979019165,3.609892657683888,0.9990000128746033,2.7547589731226982,0.9990000128746033,3.0147910375347577,0.9819999933242798,1.636936773366635,0.996999979019165,,,2.2373600514892447,0.9990000128746033,0.9872167948328169,0.9110000133514404,,,4.691995950552399,1.0,0.18160396471444248,0.9990000128746033,5.025035323258933,1.0
